"","Date","Price","Location"
"339","1/4/16",2.25,"Miami"
"340","1/11/16",2.189,"Miami"
"341","1/18/16",2.119,"Miami"
"342","1/25/16",2.097,"Miami"
"343","2/1/16",2.074,"Miami"
"344","2/8/16",1.983,"Miami"
"345","2/15/16",1.972,"Miami"
"346","2/22/16",1.955,"Miami"
"347","2/29/16",1.967,"Miami"
"348","3/7/16",2.019,"Miami"
"349","3/14/16",2.12,"Miami"
"350","3/21/16",2.184,"Miami"
"351","3/28/16",2.236,"Miami"
"352","4/4/16",2.243,"Miami"
"353","4/11/16",2.217,"Miami"
"354","4/18/16",2.278,"Miami"
"355","4/25/16",2.266,"Miami"
"356","5/2/16",2.371,"Miami"
"357","5/9/16",2.375,"Miami"
"358","5/16/16",2.374,"Miami"
"359","5/23/16",2.414,"Miami"
"360","5/30/16",2.427,"Miami"
"361","6/6/16",2.469,"Miami"
"362","6/13/16",2.49,"Miami"
"363","6/20/16",2.475,"Miami"
"364","6/27/16",2.454,"Miami"
"365","7/4/16",2.451,"Miami"
"366","7/11/16",2.421,"Miami"
"367","7/18/16",2.404,"Miami"
"368","7/25/16",2.361,"Miami"
"369","8/1/16",2.324,"Miami"
"370","8/8/16",2.31,"Miami"
"371","8/15/16",2.277,"Miami"
"372","8/22/16",2.308,"Miami"
"373","8/29/16",2.38,"Miami"
"374","9/5/16",2.36,"Miami"
"375","9/12/16",2.349,"Miami"
"376","9/19/16",2.342,"Miami"
"377","9/26/16",2.337,"Miami"
"378","10/3/16",2.382,"Miami"
"379","10/10/16",2.423,"Miami"
"380","10/17/16",2.439,"Miami"
"381","10/24/16",2.429,"Miami"
"382","10/31/16",2.414,"Miami"
"383","11/7/16",2.397,"Miami"
"384","11/14/16",2.382,"Miami"
"385","11/21/16",2.325,"Miami"
"386","11/28/16",2.318,"Miami"
"387","12/5/16",2.368,"Miami"
"388","12/12/16",2.428,"Miami"
"389","12/19/16",2.47,"Miami"
"390","12/26/16",2.508,"Miami"
"391","1/2/17",2.584,"Miami"
"392","1/9/17",2.581,"Miami"
"393","1/16/17",2.564,"Miami"
"394","1/23/17",2.534,"Miami"
"395","1/30/17",2.528,"Miami"
"396","2/6/17",2.534,"Miami"
"397","2/13/17",2.533,"Miami"
"398","2/20/17",2.561,"Miami"
"399","2/27/17",2.543,"Miami"
"400","3/6/17",2.568,"Miami"
"401","3/13/17",2.526,"Miami"
"402","3/20/17",2.514,"Miami"
"403","3/27/17",2.5,"Miami"
"404","4/3/17",2.525,"Miami"
"405","4/10/17",2.59,"Miami"
"406","4/17/17",2.603,"Miami"
"407","4/24/17",2.6,"Miami"
"408","5/1/17",2.575,"Miami"
"409","5/8/17",2.545,"Miami"
"410","5/15/17",2.53,"Miami"
"411","5/22/17",2.526,"Miami"
"412","5/29/17",2.553,"Miami"
"413","6/5/17",2.553,"Miami"
"414","6/12/17",2.518,"Miami"
"415","6/19/17",2.453,"Miami"
"416","6/26/17",2.385,"Miami"
"417","7/3/17",2.361,"Miami"
"418","7/10/17",2.372,"Miami"
"419","7/17/17",2.36,"Miami"
"420","7/24/17",2.397,"Miami"
"421","7/31/17",2.441,"Miami"
"422","8/7/17",2.461,"Miami"
"423","8/14/17",2.446,"Miami"
"424","8/21/17",2.437,"Miami"
"425","8/28/17",2.483,"Miami"
"426","9/4/17",2.868,"Miami"
"427","9/11/17",NA,"Miami"
"428","9/18/17",2.781,"Miami"
"429","9/25/17",2.836,"Miami"
"430","10/2/17",2.822,"Miami"
"431","10/9/17",2.793,"Miami"
"432","10/16/17",2.735,"Miami"
"433","10/23/17",2.703,"Miami"
"434","10/30/17",2.688,"Miami"
"435","11/6/17",2.706,"Miami"
"436","11/13/17",2.745,"Miami"
"437","11/20/17",2.705,"Miami"
"438","11/27/17",2.692,"Miami"
"439","12/4/17",2.673,"Miami"
"440","12/11/17",2.665,"Miami"
"441","12/18/17",2.637,"Miami"
"442","12/25/17",2.648,"Miami"
"443","1/1/18",2.665,"Miami"
"444","1/8/18",2.669,"Miami"
"445","1/15/18",2.688,"Miami"
"446","1/22/18",2.759,"Miami"
"447","1/29/18",2.808,"Miami"
"448","2/5/18",2.812,"Miami"
"449","2/12/18",2.797,"Miami"
"450","2/19/18",2.772,"Miami"
"451","2/26/18",2.744,"Miami"
"452","3/5/18",2.756,"Miami"
"453","3/12/18",2.727,"Miami"
"454","3/19/18",2.746,"Miami"
"455","3/26/18",2.793,"Miami"
"456","4/2/18",2.829,"Miami"
"457","4/9/18",2.821,"Miami"
"458","4/16/18",2.87,"Miami"
"459","4/23/18",2.914,"Miami"
"460","4/30/18",2.947,"Miami"
"461","5/7/18",2.931,"Miami"
"462","5/14/18",2.809,"Miami"
"463","5/21/18",2.819,"Miami"
"464","5/28/18",2.899,"Miami"
"465","6/4/18",2.869,"Miami"
"466","6/11/18",2.812,"Miami"
"467","6/18/18",2.793,"Miami"
"468","6/25/18",2.752,"Miami"
"469","7/2/18",2.75,"Miami"
"470","7/9/18",2.741,"Miami"
"471","7/16/18",2.797,"Miami"
"472","7/23/18",2.77,"Miami"
"473","7/30/18",2.809,"Miami"
"474","8/6/18",2.801,"Miami"
